LEDGER_COUNTRY_NAME;Country;Pays;Land;;Pas;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Militr;;Puntuacin militar;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrie;;Puntuacin industrial;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;Puntuacin total;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;Provincia;;;;;;;;;x;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Popul. tot.;Gesamtbevlk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_RELIGION;Religion;Religion;Religion;;Religin;;;;;;;;;x;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;x;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Thema;;Tema;;;;;;;;;x;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Idologie;Ideologie;;Ideologa;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbevlkerung;;Poblacin de la provincia;;;;;;;;;x;;;;
LEDGER_HEADER_ARMY;Armies;Armes;Armeen;;Ejrcitos;;;;;;;;;x;;;;
LEDGER_ARMY_NAME;Army;Arme;Armee;;Ejrcito;;;;;;;;;x;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;Infantera;;;;;;;;;x;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;Caballera;;;;;;;;;x;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;Artillera;;;;;;;;;x;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;x;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;Estatus;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYCOMPARE;National Comparison;Comparaison nationale;Nationaler Vergleich;;Comparativa de naciones;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTAL_POP;Total pop.;Popul. tot.;Gesamtbevlk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_COUNTRY_PROVCOUNT;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_COUNTRY_FACTORYCOUNT;Factories;Usines;Fabriken;;Fbricas;;;;;;;;;x;;;;
LEDGER_COUNTRY_LITERACY;Literacy;Alphabtisation;Alphabetisierung;;Alfabetizacin;;;;;;;;;x;;;;
LEDGER_COUNTRY_LEADERSHIP;Leadership;Commandement;Anfhrerschaft;;Liderazgo;;;;;;;;;x;;;;
LEDGER_COUNTRY_DIVISIONS;Brigades;Rgiments;Divisionen;;Brigadas;;;;;;;;;x;;;;
LEDGER_COUNTRY_SHIPS;Ships;Navires;Schiffe;;Barcos;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPARTY;Political systems;Systmes politiques;Politische Systeme;;Sistemas polticos;;;;;;;;;x;;;;
LEDGER_COUNTRY_GOVERNMENT;Government;Gouvernement;Regierung;;Gobierno;;;;;;;;;x;;;;
LEDGER_COUNTRY_NATIONALVALUE;National Value;Valeur nationale;Nationalwert;;Valor nacional;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGPARTY;Ruling party;Parti dirigeant;Regierungspartei;;Partido gobernante;;;;;;;;;x;;;;
LEDGER_COUNTRY_RULINGIDEOLOGY;Party ideology;Idologie du parti;Partieideologie;;Ideologa del partido;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;Political reforms;Rformes politiques;Politische Reformen;;Reformas polticas;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Social reforms;Rformes sociales;Soziale Reformen;;Reformas sociales;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRY_POPS;Country population;Population du pays;Landesbevlkerung;;Poblacin del pas;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCEPRODUCTION;Province production;Production de la province;Provinzproduktion;;Produccin de la provincia;;;;;;;;;x;;;;
LEDGER_STATE_NAME;State;tat;Region;;Estado;;;;;;;;;x;;;;
LEDGER_GOODS;Goods;Marchandises;Gter;;Bienes;;;;;;;;;x;;;;
LEDGER_OUTPUT;Output;Production;Leistung;;Produccin;;;;;;;;;x;;;;
LEDGER_INCOME;Income;Revenus;Einnahmen;;Ingresos;;;;;;;;;x;;;;
LEDGER_EMPLOYED;Employed;Emplois;Beschftigt;;Empleados;;;;;;;;;x;;;;
LEDGER_LEVEL;Level;Niveau;Stufe;;Nivel;;;;;;;;;x;;;;
LEDGER_HEADER_FACTORYPRODUCTION;Factory production;Production de l'usine;Fabrikproduktion;;Produccin de la fbrica;;;;;;;;;x;;;;
BUDGET;Budget;Budget;Haushalt;;Presupuesto;;;;;;;;;x;;;;
BUDGET_TAX_POOR;Tax(Poor);Impts (classes dfavorises);Steuern (Unterschicht);;Impuestos (pobres);;;;;;;;;x;;;;
BUDGET_TAX_POOR_DESC;;;;;;;;;;;;;;x;;;;
BUDGET_TAX_MIDDLE;Tax(Middle);Impts (classes moyennes);Steuern (Mittelschicht);;Impuestos (c. media);;;;;;;;;x;;;;
